ans	Most recent answer
lettersPattern	Match letter characters (Since R2020b)
lineBoundary	Match start or end of line (Since R2020b)
lookAheadBoundary	Match boundary before specified pattern (Since R2020b)
lookBehindBoundary	Match boundary following specified pattern (Since R2020b)
lower	Convert strings to lowercase
maskedPattern	Pattern with specified display name (Since R2020b)
matches	Determine if pattern matches strings
namedPattern	Designate named pattern (Since R2020b)
newline	Create newline character
num2str	Convert numbers to character array
optionalPattern	Make pattern optional to match (Since R2020b)
pad	Add leading or trailing characters to strings
pattern	Patterns to search and match text (Since R2020b)
plus	Add numbers, append strings
possessivePattern	Match pattern without backtracking (Since R2020b)
regexp	Match regular expression (case sensitive)
regexpi	Match regular expression (case insensitive)
regexpPattern	Pattern that matches specified regular expression (Since R2020b)
regexprep	Replace text using regular expression
regexptranslate	Translate text into regular expression
replace	Find and replace one or more substrings
replaceBetween	Replace substrings between start and end points
reverse	Reverse order of characters in strings
split	Split strings at delimiters
splitlines	Split strings at newline characters
sprintf	Format data into string or character vector
sscanf	Read formatted data from strings
startsWith	Determine if strings start with pattern
str2double	Convert strings to double precision values
strcat	Concatenate strings horizontally
strcmp	Compare strings
strcmpi	Compare strings (case insensitive)
strfind	Find strings within other strings
string	String array
strings	Create string array with no characters
strip	Remove leading and trailing characters from strings
strjoin	Join strings in array
strjust	Justify strings
strlength	Lengths of strings
strncmp	Compare first n characters of strings (case sensitive)
strncmpi	Compare first n characters of strings (case insensitive)
strrep	Find and replace substrings
strsplit	Split string or character vector at specified delimiter
strtok	Selected parts of strings
strtrim	Remove leading and trailing whitespace from strings
textBoundary	Match start or end of text (Since R2020b)
upper	Convert strings to uppercase
whitespaceBoundary	Match boundary between whitespace characters and non-whitespace characters (Since R2020b)
whitespacePattern	Match whitespace characters (Since R2020b)
wildcardPattern	Matches as few characters of any type (Since R2020b)
Dates and Time
addtodate	(Not recommended; use duration or calendarDuration) Add time to serial date number
between	Calendar math differences
caldays	Calendar duration in days
caldiff	Calendar math successive differences
calendar	Calendar for specified month
calendarDuration	Lengths of time in variable-length calendar units
calmonths	Calendar duration in months
calquarters	Calendar duration in quarters
calweeks	Calendar duration in weeks
calyears	Calendar duration in years
char	Character array
clock	(Not recommended; use datetime) Current date and time as date vector
convertTo	Convert datetime values to numeric representations
date	(Not recommended; use datetime("today")) Current date as character vector
datenum	(Not recommended; use datetime or duration) Convert date and time to serial date number
dateshift	Shift date or generate sequence of dates and times
datestr	(Not recommended; use string or char) Convert date and time to string format
datetime	Arrays that represent points in time
datevec	Convert date and time to vector of components
day	Day number or name of input date and time
days	Duration in days
duration	Lengths of time in fixed-length units
eomdate	(Not recommended; use dateshift) Last date of month
eomday	Last day of month
etime	(Not recommended; use datetime values or between) Time elapsed between date vectors
exceltime	Convert MATLAB datetime to Excel date number
hms	Hour, minute, and second numbers of datetime or duration
hour	Hour component of input date and time
hours	Duration in hours
isbetween	Determine which elements are within specified range
iscalendarduration	Determine if input is calendar duration array
isdatetime	Determine if input is datetime array
isdst	Determine daylight saving time elements
isduration	Determine if input is duration array
isnat	Determine NaT (Not-a-Time) elements
isregular	Determine if input times are regular with respect to time or calendar unit
isweekend	Determine weekend elements
juliandate	Convert MATLAB datetime to Julian date
leapseconds	List all leap seconds supported by datetime data type (Since R2020a)
lweekdate	(Not recommended; use dateshift) Date of last occurrence of weekday in month
m2xdate	(Not recommended; use exceltime) MATLAB date to Excel serial date number
matlab.datetime.compatibility.convertDatenum	Convert inputs to datetime values in a backward-compatible way (Since R2022a)
milliseconds	Duration in milliseconds
minute	Minute component of input date and time
minutes	Duration in minutes
month	Month number or name of input date and time
months	(Not recommended; use between) Number of whole months between dates
NaT	Not-a-Time
now	(Not recommended; use datetime) Current date and time as serial date number
nweekdate	(Not recommended; use dateshift) Date of specific occurrence of weekday in month
posixtime	Convert MATLAB datetime to POSIX time
quarter	Quarter number of input date and time
second	Seconds component of input date and time
seconds	Duration in seconds
split	Split calendar duration into numeric and duration units
string	String array
time	Convert time of calendar duration to duration
timeofday	Elapsed time since midnight for datetime arrays
timezones	List all time zones
today	(Not recommended; use datetime("today")) Current date
tzoffset	Time zone offset from UTC
week	Week number of input date and time
weekday	Day of week
weeknum	(Not recommended; use week) Week in year
x2mdate	(Not recommended; use datetime) Excel serial date number to MATLAB serial date number or datetime value
year	Year number of input date and time
years	Duration in years
ymd	Year, month, and day numbers of datetime
yyyymmdd	Convert MATLAB datetime to YYYYMMDD numeric value
Categorical Arrays
addcats	Add categories to categorical array
categorical	Array that contains values assigned to categories
categories	List of categories in categorical array
combinations	Generate all element combinations of arrays (Since R2023a)
countcats	Count occurrences of categorical array elements by category
discretize	Group data into bins or categories
iscategorical	Determine if input is categorical array
iscategory	Determine if inputs are names of categories
isordinal	Determine if input is ordinal categorical array
isprotected	Determine if categories of categorical array are protected
isundefined	Find undefined elements in categorical array
mergecats	Merge categories in categorical array
removecats	Remove categories from categorical array
renamecats	Rename categories in categorical array
reordercats	Reorder categories in categorical array
setcats	Set categories in categorical array
summary	Data summary
Tables
addprop	Add custom properties to table or timetable
addvars	Add variables to table or timetable
anymissing	Determine if any array element is missing (Since R2022a)
array2table	Convert homogeneous array to table
cell2table	Convert cell array to table
convertvars	Convert table or timetable variables to specified data type
detectImportOptions	Create import options based on file content
fillmissing	Fill missing entries
findgroups	Find groups and return group numbers
getvaropts	Get variable import options
groupcounts	Number of group elements
groupfilter	Filter by group
groupsummary	Group summary computations
grouptransform	Transform by group
head	Get top rows of array or table
height	Number of table rows
inner2outer	Invert nested table-in-table hierarchy in tables or timetables
innerjoin	Inner join between two tables or timetables
intersect	Intersection of two sets of data
ismember	Find set members of data
ismissing	Find missing values
issortedrows	Determine if matrix or table rows are sorted
istable	Determine if input is table
istabular	Determine if input is table or timetable (Since R2021b)
join	Combine two tables or timetables by rows using key variables
mergevars	Combine table or timetable variables into multicolumn variable
movevars	Move variables in table or timetable
outerjoin	Outer join between two tables or timetables
parquetinfo	Get information about Parquet file
parquetread	Read columnar data from a Parquet file
parquetwrite	Write columnar data to Parquet file
pivot	Summarize tabular data in pivoted table (Since R2023a)
preview	Preview eight rows from file using import options
readtable	Create table from file
removevars	Delete variables from table or timetable
renamevars	Rename variables in table or timetable (Since R2020a)
rmmissing	Remove missing entries
rmprop	Remove custom properties from table or timetable
rowfilter	Selectively import rows of interest (Since R2022a)
rowfun	Apply function to table or timetable rows
rows2vars	Reorient table or timetable so that rows become variables
setdiff	Difference of two sets of data
setvaropts	Set variable import options
setvartype	Set variable data types
setxor	Exclusive OR of two sets of data
sortrows	Sort rows of matrix or table
splitapply	Split data into groups and apply function
splitvars	Split multicolumn variables in table or timetable
spreadsheetImportOptions	Import options object for Spreadsheets
stack	Stack data from input table or timetable into one variable in output table or timetable
stackedplot	Stacked plot of several variables with common x-axis
standardizeMissing	Insert standard missing values
struct2table	Convert structure array to table
summary	Data summary
table	Table array with named variables that can contain different types
table2array	Convert table to homogeneous array
table2cell	Convert table to cell array
table2struct	Convert table to structure array
table2timetable	Convert table to timetable
tail	Get bottom rows of array or table
timetable2table	Convert timetable to table
topkrows	Top rows in sorted order
union	Union of two sets of data
unique	Unique values
unstack	Unstack data from one variable into multiple variables
varfun	Apply function to table or timetable variables
vartype	Subscript into table or timetable by variable type
width	Number of table variables
writetable	Write table to file
Timetables
anymissing	Determine if any array element is missing (Since R2022a)
array2timetable	Convert homogeneous array to timetable
containsrange	Determine if timetable row times contain specified time range (Since R2020a)
detectImportOptions	Create import options based on file content
eventfilter	Create event filter for selecting timetable rows (Since R2023a)
eventtable	Event table (Since R2023a)
extractevents	Extract event table from subset of timetable data (Since R2023a)
fillmissing	Fill missing entries
getvaropts	Get variable import options
head	Get top rows of array or table
ismissing	Find missing values
isregular	Determine if input times are regular with respect to time or calendar unit
istabular	Determine if input is table or timetable (Since R2021b)
istimetable	Determine if input is timetable
lag	Time-shift data in timetable
overlapsrange	Determine if timetable row times overlap specified time range (Since R2020a)
parquetinfo	Get information about Parquet file
parquetread	Read columnar data from a Parquet file
parquetwrite	Write columnar data to Parquet file
preview	Preview eight rows from file using import options
readtimetable	Create timetable from file
retime	Resample or aggregate data in timetable, and resolve duplicate or irregular times
rmmissing	Remove missing entries
rowfilter	Selectively import rows of interest (Since R2022a)
setvaropts	Set variable import options
setvartype	Set variable data types
sortrows	Sort rows of matrix or table
spreadsheetImportOptions	Import options object for Spreadsheets
stackedplot	Stacked plot of several variables with common x-axis
standardizeMissing	Insert standard missing values
summary	Data summary
syncevents	Add and synchronize variables from attached event table to timetable (Since R2023a)
synchronize	Synchronize timetables to common time vector, and resample or aggregate data from input timetables
table2timetable	Convert table to timetable
tail	Get bottom rows of array or table
timerange	Time range for timetable row subscripting
timeseries2timetable	Convert timeseries objects to timetable (Since R2021b)
timetable	Tables for time series data, with timestamped rows and variables of different types
timetable2table	Convert timetable to table
unique	Unique values
vartype	Subscript into table or timetable by variable type
withinrange	Determine if timetable row times are within specified time range (Since R2020a)
withtol	Time tolerance for timetable row subscripting
writetimetable	Write timetable to file
Structures
arrayfun	Apply function to each element of array
cell2struct	Convert cell array to structure array
fieldnames	Field names of structure, or public fields of Java or Microsoft COM object
getfield	Field of structure array
isfield	Determine if input is structure array field
isstruct	Determine if input is structure array
orderfields	Order fields of structure array
rmfield	Remove fields from structure
setfield	Assign value to structure array field
struct	Structure array
struct2cell	Convert structure to cell array
struct2table	Convert structure array to table
structfun	Apply function to each field of scalar structure
table2struct	Convert table to structure array
Cell Arrays
cell	Cell array
cell2mat	Convert cell array to ordinary array of the underlying data type
cell2struct	Convert cell array to structure array
cell2table	Convert cell array to table
celldisp	Display cell array contents
cellfun	Apply function to each cell in cell array
cellplot	Graphically display structure of cell array
cellstr	Convert to cell array of character vectors
iscell	Determine if input is cell array
iscellstr	Determine if input is cell array of character vectors
mat2cell	Convert array to cell array whose cells contain subarrays
num2cell	Convert array to cell array with consistently sized cells
struct2cell	Convert structure to cell array
table2cell	Convert table to cell array
Function Handles
feval	Evaluate function
func2str	Construct character vector from function handle
function_handle	Handle to function
functions	Information about function handle
localfunctions	Function handles to all local functions in MATLAB file
str2func	Construct function handle from character vector
Dictionaries
configureDictionary	Create dictionary with specified key and value types (Since R2023b)
containers.Map	Object that maps unique keys to values
dictionary	Object that maps unique keys to values (Since R2022b)
entries	Key-value pairs of dictionary (Since R2022b)
insert	Add entries to a dictionary (Since R2023b)
isConfigured	Determine if dictionary has types assigned to keys and values (Since R2022b)
isKey	Determine if dictionary contains key (Since R2022b)
keyHash	Generate hash code for dictionary key (Since R2022b)
keyMatch	Determine if two dictionary keys are the same (Since R2022b)
keys	Keys of dictionary (Since R2022b)
lookup	Find value in dictionary by key (Since R2023b)
numEntries	Number of key-value pairs in dictionary (Since R2022b)
remove	Remove dictionary entries (Since R2023b)
types	Types of dictionary keys and values (Since R2022b)
values	Values of dictionary (Since R2022b)
Time Series
addevent	Add event to timeseries
addsample	Add data sample to timeseries object
addsampletocollection	Add sample to tscollection
addts	Add timeseries to tscollection
append	Concatenate timeseries objects in time
delevent	Remove event from timeseries
delsample	Remove sample from timeseries object
delsamplefromcollection	Delete sample from tscollection
detrend	Subtract mean or best-fit line from timeseries object
filter	Modify frequency content of timeseries objects
findEvent	Query tsdata.event by name
getabstime	Convert timeseries or tscollection time vector to cell array
getdatasamples	Access timeseries data samples
getdatasamplesize	timeseries data sample size
getinterpmethod	timeseries interpolation method
getqualitydesc	timeseries data quality
getsamples	Subset of timeseries
getsampleusingtime	Subset of timeseries or tscollection data
gettimeseriesnames	Names of timeseries in tscollection
getTimeStr	Query tsdata.event times
gettsafteratevent	Create timeseries at or after event
gettsafterevent	Create timeseries after event
gettsatevent	Create timeseries at event
gettsbeforeatevent	Create timeseries at or before event
gettsbeforeevent	Create timeseries before event
gettsbetweenevents	Create timeseries between events
idealfilter	timeseries ideal filter
iqr	Interquartile range of timeseries data
max	Maximum of timeseries data
mean	Mean of timeseries data
median	Median of timeseries data
min	Minimum of timeseries data
plot	Plot timeseries
removets	Remove timeseries from tscollection
resample	Resample time vector in timeseries or tscollection
setabstime	Set timeseries or tscollection times as date character vectors
setinterpmethod	Set default interpolation method for timeseries object
settimeseriesnames	Rename timeseries in tscollection
setuniformtime	Modify uniform timeseries time vector
std	Standard deviation of timeseries data
sum	Sum of timeseries data
synchronize	Synchronize and resample two timeseries objects using common time vector
timeseries	Create timeseries object
timeseries2timetable	Convert timeseries objects to timetable (Since R2021b)
tscollection	Create tscollection object
tsdata.event	Create tsdata.event object
var	Variance of timeseries data
Data Type Identification
class	Class of object
isa	Determine if input is instance of specified class
iscalendarduration	Determine if input is calendar duration array
iscategorical	Determine if input is categorical array
iscell	Determine if input is cell array
iscellstr	Determine if input is cell array of character vectors
ischar	Determine if input is character array
isdatetime	Determine if input is datetime array
isduration	Determine if input is duration array
isenum	Determine if variable is enumeration
isfloat	Determine if input is floating-point array
isgraphics	True for valid graphics object handles
isinteger	Determine whether input is integer array
isjava	Determine if input is Java object
islogical	Determine if input is logical array
isnumeric	Determine whether input is numeric array
isobject	Determine if input is MATLAB object
isreal	Determine whether array uses complex storage
issparse	Determine whether input is sparse
isstring	Determine if input is string array
isstruct	Determine if input is structure array
istable	Determine if input is table
istabular	Determine if input is table or timetable (Since R2021b)
istimetable	Determine if input is timetable
isUnderlyingType	Determine whether input has specified underlying data type (Since R2020b)
underlyingType	Type of underlying data determining array behavior (Since R2020b)
validateattributes	Check validity of array
whos	List variables in workspace, with sizes and types
Data Type Conversion
array2table	Convert homogeneous array to table
array2timetable	Convert homogeneous array to timetable
base2dec	Convert text representation of base-n integer to double value
bin2dec	Convert text representation of binary integer to double value
categorical	Array that contains values assigned to categories
cell2mat	Convert cell array to ordinary array of the underlying data type
cell2struct	Convert cell array to structure array
cell2table	Convert cell array to table
cellstr	Convert to cell array of character vectors
char	Character array
datetime	Arrays that represent points in time
dec2base	Convert decimal integer to its base-n representation
dec2bin	Convert decimal integer to its binary representation
dec2hex	Convert decimal integer to its hexadecimal representation
duration	Lengths of time in fixed-length units
hex2dec	Convert text representation of hexadecimal integer to double value
hex2num	Convert IEEE hexadecimal format to double-precision number
int2str	Convert integers to characters
mat2cell	Convert array to cell array whose cells contain subarrays
mat2str	Convert matrix to characters
matlab.datetime.compatibility.convertDatenum	Convert inputs to datetime values in a backward-compatible way (Since R2022a)
native2unicode	Convert numeric bytes to Unicode character representation
num2cell	Convert array to cell array with consistently sized cells
num2hex	Convert single- and double-precision numbers to IEEE hexadecimal format
num2str	Convert numbers to character array
str2double	Convert strings to double precision values
str2num	Convert character array or string to numeric array
string	String array
struct2cell	Convert structure to cell array
struct2table	Convert structure array to table
table2array	Convert table to homogeneous array
table2cell	Convert table to cell array
table2struct	Convert table to structure array
table2timetable	Convert table to timetable
timetable2table	Convert timetable to table
unicode2native	Convert Unicode character representation to numeric bytes
Operators and Elementary Operations
Arithmetic Operations
'	Complex conjugate transpose
*	Matrix multiplication
+	Add numbers, append strings
-	Subtraction
.'	Transpose vector or matrix
.*	Multiplication
./	Right array division
.\	Left array division
.^	Element-wise power
/	Solve systems of linear equations xA = B for x
\	Solve systems of linear equations Ax = B for x
^	Matrix power
bsxfun	Apply element-wise operation to two arrays with implicit expansion enabled
ceil	Round toward positive infinity
cumprod	Cumulative product
cumsum	Cumulative sum
diff	Differences and approximate derivatives
fix	Round toward zero
floor	Round toward negative infinity
idivide	Integer division with rounding option
mod	Remainder after division (modulo operation)
movsum	Moving sum
pagectranspose	Page-wise complex conjugate transpose (Since R2020b)
pagemldivide	Page-wise left matrix divide (Since R2022a)
pagemrdivide	Page-wise right matrix divide (Since R2022a)
pagemtimes	Page-wise matrix multiplication (Since R2020b)
pagetranspose	Page-wise transpose (Since R2020b)
prod	Product of array elements
rem	Remainder after division
round	Round to nearest decimal or integer
sum	Sum of array elements
tensorprod	Tensor products between two tensors (Since R2022a)
uminus	Unary minus
uplus	Unary plus
Relational Operations
<	Determine less than
<=	Determine less than or equal to
==	Determine equality
>	Determine greater than
>=	Determine greater than or equal to
isapprox	Determine approximate equality (Since R2024b)
isequal	Determine array equality
isequaln	Determine array equality, treating NaN values as equal
~=	Determine inequality
Logical (Boolean) Operations
&	Find logical AND
all	Determine if all array elements are nonzero or true
any	Determine if any array elements are nonzero
false	Logical 0 (false)
find	Find indices and values of nonzero elements
islogical	Determine if input is logical array
logical	Convert numeric values to logicals
Short-Circuit &&	Logical AND with short-circuiting
Short-Circuit ||	Logical OR with short-circuiting
true	Logical 1 (true)
xor	Find logical exclusive-OR
|	Find logical OR
~	Find logical NOT
Set Operations
innerjoin	Inner join between two tables or timetables
intersect	Intersection of two sets of data
ismember	Find set members of data
ismembertol	Find set members of data within tolerance
join	Combine two tables or timetables by rows using key variables
outerjoin	Outer join between two tables or timetables
setdiff	Difference of two sets of data
setxor	Exclusive OR of two sets of data
union	Union of two sets of data
unique	Unique values
uniquetol	Unique values within tolerance
Bit-Wise Operations
bitand	Bit-wise AND
bitcmp	Bit-wise complement
bitget	Get bit at specified position
bitor	Bit-wise OR
bitset	Set bit at specific location
bitshift	Shift bits specified number of places
bitxor	Bit-wise XOR
swapbytes	Swap byte ordering
Special Characters
!	Operating system command
%	Code comments, conversion specifier
%{ %}	Block comments
( )	Command grouping, indexing
,	Command separator
.	Decimal point, element-wise operations, indexing
...	Line continuation
:	Vector creation, array subscripting, and for-loop iteration
;	Command and array separator
=	Variable creation and indexed assignment
?	Obtain matlab.metadata.Class object
@	Create anonymous functions and function handles, call superclass methods
[ ]	Array creation and concatenation, element deletion, argument assignment
{ }	Cell array creation, indexing
Loops and Conditional Statements
break	Terminate execution of for or while loop
continue	Pass control to next iteration of for or while loop
end	Terminate block of code or indicate last array index
for	for loop to repeat specified number of times
if, elseif, else	Execute statements if condition is true
parfor	Parallel for-loop
pause	Stop MATLAB execution temporarily
return	Return control to invoking script or function
switch, case, otherwise	Execute one of several groups of statements
try, catch	Execute statements and catch resulting errors
while	while loop to repeat when condition is true
Data Import and Analysis
Data Import and Export
Standard File Formats
audiodevinfo	Information about audio device
audiodevreset	Refresh list of available audio devices (Since R2020b)
audioinfo	Information about audio file
audioplayer	Object for playing audio
audioread	Read audio file
audiorecorder	Object for recording audio
audiowrite	Write audio file
beep	Produce operating system beep sound
cdfinfo	Information about Common Data Format (CDF) file
cdflib.breakdownTT2000	Convert CDF_TIME_TT2000 timestamp to time components (Since R2022b)
cdflib.close	Close Common Data Format (CDF) file
cdflib.closeVar	Close specified variable from multifile format Common Data Format (CDF) file
cdflib.computeEpoch	Convert time value to CDF_EPOCH value
cdflib.computeEpoch16	Convert time value to CDF_EPOCH16 value
cdflib.computeTT2000	Convert time components to CDF_TIME_TT2000 timestamp (Since R2022b)
cdflib.create	Create Common Data Format (CDF) file
cdflib.createAttr	Create attribute
cdflib.createVar	Create new variable
cdflib.delete	Delete Common Data Format (CDF) file
cdflib.deleteAttr	Delete attribute
cdflib.deleteAttrEntry	Delete entry from attribute with variable scope
cdflib.deleteAttrgEntry	Delete entry from attribute with global scope
cdflib.deleteVar	Delete variable
cdflib.deleteVarRecords	Delete range of records from variable
cdflib.epoch16Breakdown	Convert CDF_EPOCH16 value to time value
cdflib.epochBreakdown	Convert CDF_EPOCH value to time value
cdflib.getAttrEntry	Value of entry in attribute with variable scope
cdflib.getAttrgEntry	Value of entry in global attribute
cdflib.getAttrMaxEntry	Number of last entry for variable attribute
cdflib.getAttrMaxgEntry	Number of last entry for global attribute
cdflib.getAttrName	Attribute name, given attribute number
cdflib.getAttrNum	Attribute number, given attribute name
cdflib.getAttrScope	Scope of attribute
cdflib.getCacheSize	Number of cache buffers
cdflib.getChecksum	Checksum mode
cdflib.getCompression	Compression settings
cdflib.getCompressionCacheSize	Number of compression cache buffers
cdflib.getConstantNames	Names of Common Data Format (CDF) library constants
cdflib.getConstantValue	Numeric value corresponding to Common Data Format (CDF) library constant
cdflib.getCopyright	Copyright notice in Common Data Format (CDF) file
cdflib.getFileBackward	Return backward compatibility mode
cdflib.getFormat	Format of Common Data Format (CDF) file
cdflib.getLibraryCopyright	Copyright notice of Common Data Format (CDF) library
cdflib.getLibraryVersion	Library version and release information
cdflib.getMajority	Majority of variables
cdflib.getName	Name of Common Data Format (CDF) file
cdflib.getNumAttrEntries	Number of entries for attribute with variable scope
cdflib.getNumAttrgEntries	Number of entries for attribute with global scope
cdflib.getNumAttributes	Number of attributes with variable scope
cdflib.getNumgAttributes	Number of attributes with global scope
cdflib.getReadOnlyMode	Read-only mode
cdflib.getStageCacheSize	Number of cache buffers for staging
cdflib.getValidate	Library validation mode
cdflib.getVarAllocRecords	Number of records allocated for variable
cdflib.getVarBlockingFactor	Blocking factor for variable
cdflib.getVarCacheSize	Number of multifile cache buffers
cdflib.getVarCompression	Information about compression used by variable
cdflib.getVarData	Single value from record in variable
cdflib.getVarMaxAllocRecNum	Maximum allocated record number for variable
cdflib.getVarMaxWrittenRecNum	Maximum written record number for variable
cdflib.getVarName	Variable name, given variable number
cdflib.getVarNum	Variable number, given variable name
cdflib.getVarNumRecsWritten	Number of records written to variable
cdflib.getVarPadValue	Pad value for variable
cdflib.getVarRecordData	Entire record for variable
cdflib.getVarReservePercent	Compression reserve percentage for variable
cdflib.getVarsMaxWrittenRecNum	Maximum written record number for CDF file
cdflib.getVarSparseRecords	Information about how variable handles sparse records
cdflib.getVersion	Common Data Format (CDF) library version and release information
cdflib.hyperGetVarData	Read hyperslab of data from variable
cdflib.hyperPutVarData	Write hyperslab of data to variable
cdflib.inquire	Information about Common Data Format (CDF) file
cdflib.inquireAttr	Information about attribute
cdflib.inquireAttrEntry	Information about entry in attribute with variable scope
cdflib.inquireAttrgEntry	Information about entry in attribute with global scope
cdflib.inquireVar	Information about variable
cdflib.open	Open Common Data Format (CDF) file
cdflib.putAttrEntry	Write value to entry in attribute with variable scope
cdflib.putAttrgEntry	Write value to entry in attribute with global scope
cdflib.putVarData	Write single value to variable
cdflib.putVarRecordData	Write entire record to variable
cdflib.renameAttr	Change name of attribute
cdflib.renameVar	Change name of variable
cdflib.setCacheSize	Specify number of dotCDF cache buffers
cdflib.setChecksum	Specify checksum mode
cdflib.setCompression	Specify compression settings
cdflib.setCompressionCacheSize	Specify number of compression cache buffers
cdflib.setFileBackward	Specify backward compatibility mode
cdflib.setFormat	Specify format of Common Data Format (CDF) file
cdflib.setMajority	Specify majority of variables
cdflib.setReadOnlyMode	Specify read-only mode
cdflib.setStageCacheSize	Specify number of staging cache buffers for Common Data Format (CDF) file
cdflib.setValidate	Specify library validation mode
cdflib.setVarAllocBlockRecords	Specify range of records to be allocated for variable
cdflib.setVarBlockingFactor	Specify blocking factor for variable
cdflib.setVarCacheSize	Specify number of multifile cache buffers for variable
cdflib.setVarCompression	Specify compression settings used with variable
cdflib.setVarInitialRecs	Specify initial number of records written to variable
cdflib.setVarPadValue	Specify pad value used with variable
cdflib.setVarReservePercent	Specify reserve percentage for variable
cdflib.setVarsCacheSize	Specify number of cache buffers used for all variables
